id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
28076010704,280760,SE,Umbaúba,CRAS ASTERIA FONTES GOIS,,,LOTEAMENTO GUARAREMA - 57,57,,NO FUNDO STUDIO GALEGO FOTOGRAFIAS,CENTRO,49260000,"-11.380905730099427\,-37.65079021453858",2026-03-12T04:09:13.751Z
29001030329,290010,BA,Abaíra,CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,,,RUA FRANCISCO CARDOSO - 0,0,CASA,PROXIMO A COELBA,CENTRO,46690000,"-13.250305387444408\,-41.666722297668464",2026-03-12T04:09:13.457Z
29002031881,290020,BA,Abaré,CRAS,,,Maria das Mercês Alexandre - 51,51,CASA,PROXIMO A IGREJA ASSEMBLÉIA DE DEUS,CENTRO,48680000,"-8.725633022901738\,-39.11572694778443",2026-03-12T04:09:16.995Z
29002040465,290020,BA,Abaré,CRAS - Edvaldo Júnior de Alcântara,,,ANTONIO JOSE DA SILVA - 02,02,,,IBÓ,48680000,,2026-03-12T04:09:19.405Z
29003032503,290030,BA,Acajutiba,CRAS,,,Saturnino de Menezes - 00,00,,Proximo ao Estadio Municipal,Centro,48360000,"-11.666715680060031\,-38.017433167551644",2026-03-12T04:09:16.722Z
29003502895,290035,BA,Adustina,CRAS FAMILIA E COMUNIDADE,,,JOSÉ CARLOS ALELUIA - 121,121,Predio,PRÓXIMO A GUARDA MUNICIPAL,CONJUNTO,48435000,"-10.534929021314632\,-38.11344591058515",2026-03-12T04:09:12.214Z
29004004022,290040,BA,Água Fria,CRAS AGUA FRIA,,,BARÃO DO RIO BRANCO - 1,1,PRÉDIO,,CENTRO,48170000,"-11.869555802046232\,-38.76092433929444",2026-03-12T04:09:12.515Z
29005031125,290050,BA,Érico Cardoso,CRAS,,,Rua Ademário Cardoso - 23,23,casa,Colégio Cleriston Andrade,centro,46180000,"-13.418643702576752\,-42.141644954681404",2026-03-12T04:09:16.058Z
29006004990,290060,BA,Aiquara,Centro de Referência de Assistência Social,,,Jonival Lucas - 240,240,Casa,,São Francisco,45220000,"-14.129\,-39.888",2026-03-12T04:09:13.751Z
29007002927,290070,BA,Alagoinhas,CRAS DE NOVA BRASILIA,,,SAO SEVERINO - 367,367,,EM FRENTE A SEDE DA ASSOCIAÇÃO DE MORADORES DO BAIRRO NOVA BRASILIA,NOVA BRASILIA,48000100,"-12.126355122370033\,-38.44305038452149",2026-03-12T04:09:13.001Z
29007006583,290070,BA,Alagoinhas,CRAS DE BOA UNIÃO,,,MANOEL TEIXEIRA LEAL  - 0,0,CASA,,zona rural,48103000,"-12.187019133226132\,-38.50549221038819",2026-03-12T04:09:13.001Z
29007020463,290070,BA,Alagoinhas,CRAS DO RIACHO DA GUIA,,,ALEXANDRE FONSECA - 35,35,,Frente à quadra do Colégio.,Zona rural,48105000,"-11.957201470885835\,-38.378081917762756",2026-03-12T04:09:13.001Z
29007038686,290070,BA,Alagoinhas,CRAS PRAÇA DO CEU,,,SÃO ISIDORO - 00,00,,,SANTA TEREZINHA,48010600,"-12.122809667929838\,-38.42069149017335",2026-03-12T04:09:19.359Z
29007039877,290070,BA,Alagoinhas,CRAS MANGALÔ,,,MARECHAL ARISTÓTELES DE SOUZA - 895,895,comercial,ANTIGO CONSELHO TUTELAR II,MANGALÔ,48001690,"-12.148088356779667\,-38.44292163848878",2026-03-12T04:09:15.742Z
29008032953,290080,BA,Alcobaça,CRAS I - CASA DA FAMÍLIA CONVIVER,,,C - 0,0,,,BEIJA FLOR,45910000,"-17.52305049693895\,-39.197738170623786",2026-03-12T04:09:19.359Z
29008040041,290080,BA,Alcobaça,CRAS II - SÃO JOSÉ,,,JOÃO RAFAEL  - 355,355,CASA,ENTRADA NO POSTO DE GASOLINA,PLANALTO,45910000,"-17.4976554433839\,-39.4295346736908",2026-03-12T04:09:16.280Z
29009009368,290090,BA,Almadina,"CRAS Emília Ferreira Campos ""D.BIA""",,,Artur Leite - 0,0,,Colégio Municipal Professor João Arbage,Centro,45640000,"-14.704726788351735\,-39.636209607124336",2026-03-12T04:09:12.214Z
29010002949,290100,BA,Amargosa,CRAS MANOEL PATROCÍNIO DE MORAIS,,,MARIA MADALENA ALMEIDA DE QUEIROZ - 49,49,casa,,Santa Rita,45300000,"-13.016391011437015\,-39.60062742233277",2026-03-12T04:09:14.246Z
29010038768,290100,BA,Amargosa,CRAS CIDADE JARDIM,,,São Cristovão - 1182,1182,S/N,antiga Creche Gustavo Leal,Catiara,45300000,"-13.03152673320123\,-39.5903491973877",2026-03-12T04:09:15.596Z
29011003169,290110,BA,Amélia Rodrigues,CRAS Nair Paim,,,Justiniano Silva - 56,56,casa,PRÓXIMO A PREFEITURA MUNICIPAL DE AMÉLIA RODRIGUES.,centro,44230000,"-12.39908683031412\,-38.75491619110108",2026-03-12T04:09:12.214Z
29011502716,290115,BA,América Dourada,CRAS Unidos por um Mundo Melhor,,,Romão Gramacho - 77,77,casa,Ao lado da Secretaria Municipal de Educação.,Centro,44910000,"-11.453043931020614\,-41.43691062927247",2026-03-12T04:09:14.692Z
29011540695,290115,BA,América Dourada,CRAS QUILOMBOLA - CELINA ROSA,,,Rua Manoel de Jorge - 01,01,Prédio,,Prevenido,44910000,,2026-03-12T04:09:17.977Z
29012003412,290120,BA,Anagé,CRAS CENTRAL,,,RUA JOSÉ DIAS - 91,91,Casa,,Augusto Vieira,45180000,"-14.6119679\,-41.1401752",2026-03-12T04:09:13.060Z
29012040093,290120,BA,Anagé,CRAS LINDO HORIZONTE,,,LINDO HORIZONTE CENTRO - 00,00,,Ao lado mercado municipal,centro,45180000,"-14.62255841358692\,-41.08322381973267",2026-03-12T04:09:15.817Z
29013003157,290130,BA,Andaraí,CRAS - Rosalina Mendes dos Santos,,,São Francisco - 0,0,CASA,vizinho a Igreja São Francisco,Alto do Ibirapitanga,46830000,"-12.792927653180593\,-41.33105993270874",2026-03-12T04:09:12.679Z
29013502837,290135,BA,Andorinha,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL CRAS/PAIF - SEDE,,,RIO DE JANEIRO - 0,0,CASA,PROXIMO A IGREJA ADVENTISTA DO SETIMO DIA,CENTRO,48990000,"-10.345\,-39.833",2026-03-12T04:09:13.566Z
